Title,Poet,Year
Summer Apples,Cathryn Essinger,2016
Nothing But Good...,Sarah White,2015
Napalm,Quan Barry,2001
The New Church,Lucia Cherciu,2016
My Dog Practices Geometry,Cathryn Essinger,2002
vigil,Quan Barry,2001
loose strife [Somebody says draw a map],Quan Barry,2015
Burning Monk,Shin Yu Pai,2010
loose strife [Listen closely as I sing this],Quan Barry,2015
Model Minorities,Shin Yu Pai,2010
"loose strife [Say, when we woke those icy spring mornings]",Quan Barry,2015
"A Day Without an Immigrant, Dallas, Texas",Shin Yu Pai,2010
Craft [The first great poet],Quan Barry,2015
Someone once said we were put on this earth to witness and testify,Quan Barry,2015
crossing the South China Sea as analgesia,Quan Barry,2004
lion,Quan Barry,2011
Thanksgiving,Quan Barry,2011
Perihan,Sara Deniz Akant,2017
Keough Hall,Francisco Aragón,2017
Something Something Something Grand,Sandra Lim,2006
Pantoum,Sandra Lim,2006
Blister,Francisco Aragón,2008
Small Shame Blues,Dan Vera,2013
Your Voice,Francisco Aragón,2010
Just Disaster,Sandra Lim,2006
In My Little Room,Koon Woon,2013
Norse Saga,Dan Vera,2013
Lucky Duck,Sandra Lim,2006
Let the Chinese Mafia Sleep Tonight,Koon Woon,2013
Handsome Caudillos,Dan Vera,2013
Goldfish,Koon Woon,2013
"José Dominguez, the First Latino in Outer Space",Dan Vera,2013
Love Poem,Francisco Aragón,2010
How to Cook Rice,Koon Woon,2013
In Secret,Francisco Aragón,2010
Asleep You Become a Continent,Francisco Aragón,2010
ain't that easy,erica lewis,2017
Relationships,Jill Magi,2017
Midtown Triptych,Francisco Aragón,2010
[I would drive to your grave],Leslie Harrison,2017
Final Shirt,Marjorie Saiser,2016
An After Hour,Brenda Coultas,2017
Weren't We Beautiful,Marjorie Saiser,2018
[Wilt thou play with him as with a bird],Leslie Harrison,2017
Thanksgiving for Two,Marjorie Saiser,2014
[Stutter],Leslie Harrison,2017
The Print the Whales Make,Marjorie Saiser,2016
My Doggy Ate My Essay,Darren Sardelli,2026
Where They Lived,Marjorie Saiser,2006
The Letter A,Darren Sardelli,2016
[That],Leslie Harrison,2017
"Recess! Oh, Recess!",Darren Sardelli,2009
Our Grandma Kissed a Pumpkin,Darren Sardelli,2016
Fund Drive,Terri Kirby Erickson,2017
The Silliest Teacher in School,Darren Sardelli,2009
"My Cousin, Milton",Terri Kirby Erickson,2017
Little Boy Blue,Darren Sardelli,2006
Sponge Bath,Terri Kirby Erickson,2011
Hospital Parking Lot,Terri Kirby Erickson,2014
The Wall,Bruce Guernsey,2017
For My Wife Cutting My Hair,Bruce Guernsey,2011
Back Road,Bruce Guernsey,2012
Moss,Bruce Guernsey,1997
The Lady and the Tramp,Bruce Guernsey,2007
Yam,Bruce Guernsey,2008
What is Liberty?,Olivia Maciel,2005
"Night Moths, Vapor",Olivia Maciel,2005
Three Women,Olivia Maciel,2005
"Scintilla, Star",Jameson Fitzpatrick,2018
Morning Scene,Jameson Fitzpatrick,2014
Balcony Scene,Jameson Fitzpatrick,2014
Tenderness,Jameson Fitzpatrick,2014
Covering the Mirrors,Carol V. Davis,2017
Typhoni,Sy Hoahwah,2018
I Woke Up,Jameson Fitzpatrick,2017
Mockingbird II,Carol V. Davis,2008
Hillbilly Leviathan,Sy Hoahwah,2018
Animal Time,Carol V. Davis,2013
Remedy,Dag T. Straumsvåg,2017
Admiral Nimitz,Carol V. Davis,2016
Definitive Bright Morning,Sy Hoahwah,2018
"“I’m Stepping Up in Singing Sandals, No Use For”",Bridget Talone,2018
The People on the Bus,Stephanie Burt,2013
Poem,Claudia La Rocco,2018
Creation Myth,Lisa Wells,2018
Bad Newz,Stephanie Burt,2013
In Memory of the Rock Band Breaking Circus,Stephanie Burt,2013
I Make Promises Before I Dream,Tongo Eisen-Martin,2018
Butterfly with Parachute,Stephanie Burt,2013
Archery,Stephanie Burt,2019
In a Daydream of Being the Big House Missus,Justin Phillip Reed,2019
To Make Color,Ryler Dustin,2018
Growing Apples,Nancy Miller Gomez,2018
[sack for PICTS],Roberto Harrison,2006
The Ambassador of the Interior Has a Talking to With the Minister of the Cabinet of Vengeance,Stephanie Ellis Schlaifer,2019
Bakery of Lies,Judith Askew,2016
"[4,2]",Roberto Harrison,2006
[live chat],Roberto Harrison,2006
Ascension,John L. Stanizzi,2018
western rattle,Roberto Harrison,2006
Happiness,Richard Jarrette,2017
An Hispanic Identity Meaning Switches and False Twos,Roberto Harrison,2006
Cry To Me,John L. Stanizzi,2016
The View from There,Pauletta Hansel,2017
the name before the name before mine,Jay Besemer,2019
Husbands,Pauletta Hansel,2011
My Mother's Van,Faith Shearin,2018
Taking Turns,Jeanie Greensfelder,2017
Taste,Jessica Laser,2019
The Great San Bernardino Pitch Party,Callie Garnett,2019
Music at My Mother's Funeral,Faith Shearin,2013
Sixth Grade,Jeanie Greensfelder,2012
Possum in the Garbage,Faith Shearin,2015
15 Years of Paris,Katy Bohinc,2019
An Animal Unfit for Living Unmolested,Ginger Ko,2019
Sight,Faith Shearin,2015
Nerve,Geoffrey Hilsabeck,2019
His New Twin Daughters,Elise Hempel,2018
