Poet,PredictedYear,PoemTitle
Clive James,1969,Against Gregariousness
Connie Deanovich,1990,Formerly Communist Love Sonnet
Richard Owens,2003,Rock Island Line
Christina Pugh,2008,Three Blue Butterflies
Eleanor Ross Taylor,1950,At the Altar
Vandana Khanna,2002,Train to Agra
Kenyatta Rogers,2025,Carpet Bomb
Gina Franco,1922,"Archaeopteryx, an Elegy"
Nathalie Handal,1999,The Unnatural Apologie of Shadows
Phillis Wheatley,1783,A Hymn to the Evening
Robert Lowell,1947,My Last Afternoon with Uncle Devereux Winslow
Robin Robertson,1985,Under Beinn Ruadhainn
Kathryn Simmonds,2002,In the Woods
Charles Olson,1940,The Kingfishers
Cedar Sigo,2008,Taken Care Of
