Poet,PredictedYear,PoemTitle
Marnie Walsh,1989,Bessie Dreaming Bear
Linda Norton,1962,Self Portrait as a Meadow
Donovan Kūhiō Colleps,2025,Wākea’s Blue Teeth (a super bowl poem)
LaWanda Walters,1989,Woodcut
Emily Jungmin Yoon,2025,"An Ordinary Misfortune [""She is girl. She is gravel.""]"
James L. Dickey,1952,Cherrylog Road
Richard Lovelace,1647,The Snail
Matthew Dickman,2005,Teenage Riot
Paolo Febbraro,1960,Fable and Moral
Afaa Michael Weaver,1981,Evening Lounge
Louise Bogan,1927,A Letter
Kwame Dawes,1992,Coffee Break
Wesley McNair,1971,My Mother's Penmanship Lessons
Robert Herrick,1704,"To the Virgins, to Make Much of Time"
Jeff Derksen,1991,In Memory of My Heavy Metal Years
