Title,Poet,era,cap_rate,punct_rate,colon_density,concrete_abstract_ratio,adv_verb_ratio,rhyme_rate,archaic_density,uses_rhyme,rhyme_rate_given_uses,uses_colons,colon_density_given_uses,caps_all,cap_rate_given_not_all,high_punct,punct_rate_given_not_all,uses_archaism,archaic_density_given_uses,era_3class
"
                    Sonnets from the Portuguese 44:  Beloved, thou has brought me many flowers
                ",Elizabeth Barrett Browning,1800-1900,1.0,0.625,0.8264462809917356,0.282051282051282,0.2857142857142857,0.3076923076923077,4.838709677419355,1,0.3076923076923077,1,0.8264462809917356,1,,0,0.625,1,4.838709677419355,1800-1900
"
                    Song: “You charm'd me not with that fair face”
                ",John Dryden,Pre-1800,0.9411764705882352,0.5882352941176471,4.166666666666666,0.25,0.2631578947368421,0.2258064516129032,0.0,1,0.2258064516129032,1,4.166666666666666,0,0.9411764705882352,0,0.5882352941176471,0,,Pre-1800
"
                    Chance Meeting
                ",Susan Browne,Post-1900,0.0384615384615384,0.4230769230769231,0.0,0.5272727272727272,0.3095238095238095,0.0,0.4807692307692308,0,,0,,0,0.0384615384615384,0,0.4230769230769231,1,0.4807692307692308,Post-1900
"
                    Artillery
                ",George Herbert,Pre-1800,0.9642857142857144,0.75,3.5999999999999996,0.175,0.4117647058823529,0.1224489795918367,9.523809523809524,1,0.1224489795918367,1,3.5999999999999996,1,,0,0.75,1,9.523809523809524,Pre-1800
"
                    Let me tell you about my marvelous god
                ",Susan Stewart,Post-1900,0.2222222222222222,0.3333333333333333,1.1695906432748535,0.4426229508196721,0.3103448275862069,0.0,0.5813953488372093,0,,1,1.1695906432748535,0,0.2222222222222222,0,0.3333333333333333,1,0.5813953488372093,Post-1900
"
                    The Silver Swan
                ",Orlando Gibbons,Pre-1800,1.0,0.8333333333333334,7.84313725490196,0.4666666666666667,0.3,0.2222222222222222,0.0,1,0.2222222222222222,1,7.84313725490196,1,,0,0.8333333333333334,0,,Pre-1800
"
                    The Statue
                ",Ella Higginson,1800-1900,0.9,0.8,5.042016806722689,0.7096774193548387,0.4,0.1,0.8771929824561403,1,0.1,1,5.042016806722689,0,0.9,0,0.8,1,0.8771929824561403,1800-1900
"
                    Alternating lunes
                ",Philip Good,Post-1900,0.0098039215686274,0.0588235294117647,0.0,0.801980198019802,0.2718446601941747,0.0058479532163742,0.2141327623126338,1,0.0058479532163742,0,,0,0.0098039215686274,0,0.0588235294117647,1,0.2141327623126338,Post-1900
"
                    Like Brothers We Meet
                ",George Moses Horton,1800-1900,1.0,0.96,0.0,0.2549019607843137,1.1428571428571428,0.2127659574468085,0.6172839506172839,1,0.2127659574468085,0,,1,,1,,1,0.6172839506172839,1800-1900
"
                    An Evening Thought: Salvation by Christ, with Penetential Cries
                ",Jupiter Hammon,Pre-1800,1.0,0.9888888888888888,5.603448275862069,0.23841059602649,0.4202898550724637,0.1393939393939394,7.066381156316917,1,0.1393939393939394,1,5.603448275862069,1,,1,,1,7.066381156316917,Pre-1800
